player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
archie-goodwin,2013,77,200,1994-08-17
nemanja-nedovic,2013,75,192,1991-06-16
allen-crabbe,2013,77,212,1992-04-09
alex-abrines,2013,78,200,1993-08-01
carrick-felix,2013,78,201,1990-08-17
isaiah-canaan,2013,72,201,1991-05-21
glen-rice-jr.,2013,78,206,1991-01-01
ray-mccallum,2013,75,190,1991-06-12
tony-mitchell,2013,80,235,1992-04-07
nate-wolters,2013,76,190,1991-05-15
jeff-withey,2013,84,231,1990-03-07
grant-jerrett,2013,82,235,1993-07-08
jamaal-franklin,2013,77,191,1991-07-21
pierre-jackson,2013,70,180,1991-08-29
ricky-ledo,2013,79,195,1992-09-10
mike-muscala,2013,82,240,1991-07-01
marko-todorovic,2013,82,243,1992-04-19
erick-green,2013,76,185,1991-05-09
raul-neto,2013,73,180,1992-05-19
ryan-kelly,2013,83,230,1991-04-09
erik-murphy,2013,82,230,1990-10-26
james-ennis,2013,78,215,1990-07-01
romero-osby,2013,80,240,1990-05-07
lorenzo-brown,2013,77,189,1990-08-26
colton-iverson,2013,84,255,1989-06-29
