team,player,college
DEN,nikola-jokic,
HOU,nick-johnson,Arizona
ATL,edy-tavares,
MIN,markel-brown,Oklahoma State
CHH,dwight-powell,Stanford
WAS,jordan-clarkson,Missouri
PHI,russ-smith,Louisville
MIL,lamar-patterson,Pitt
CHI,cameron-bairstow,New Mexico
PHO,alec-brown,Green Bay
NYK,thanasis-antetokounmpo,
PHI,vasilije-micic,
MIN,alessandro-gentile,
PHI,nemanja-dangubic,
MIA,semaj-christon,Xavier
DEN,devyn-marble,Iowa
IND,louis-labeyrie,
SAS,jordan-mcrae,Tennessee
TOR,xavier-thames,San Diego State
SAS,cory-jefferson,Baylor
MIN,karl-anthony-towns,Kentucky
LAL,d'angelo-russell,Ohio State
PHI,jahlil-okafor,Duke
NYK,kristaps-porzingis,
ORL,mario-hezonja,
SAC,willie-cauley-stein,Kentucky
DEN,emmanuel-mudiay,
DET,stanley-johnson,Arizona
CHO,frank-kaminsky,Wisconsin
MIA,justise-winslow,Duke
IND,myles-turner,Texas
UTA,trey-lyles,Kentucky
PHO,devin-booker,Kentucky
OKC,cameron-payne,Murray State
ATL,kelly-oubre-jr.,Kansas
BOS,terry-rozier,Louisville
MIL,rashad-vaughn,UNLV
HOU,sam-dekker,Wisconsin
WAS,jerian-grant,Notre Dame
TOR,delon-wright,Utah
DAL,justin-anderson,Virginia
CHI,bobby-portis,Arkansas
POR,rondae-hollis-jefferson,Arizona
CLE,tyus-jones,Duke
MEM,jarell-martin,LSU
SAS,nikola-milutinov,
LAL,larry-nance-jr.,Wyoming
BOS,r.j.-hunter,Georgia State University
BRK,chris-mccullough,Syracuse
GSW,kevon-looney,UCLA
MIN,cedi-osman,
HOU,montrezl-harrell,Louisville
BOS,jordan-mickey,LSU
LAL,anthony-brown,Stanford
PHI,willy-hernangomez,
MIN,rakeem-christmas,Syracuse
PHI,richaun-holmes,Bowling Green
DET,darrun-hilliard,Villanova
CHO,juan-pablo-vaulet,
MIA,josh-richardson,Tennessee
BRK,pat-connaughton,Notre Dame
UTA,olivier-hanlan,Boston College
IND,joe-young,Oregon
PHO,andrew-harrison,Kentucky
BOS,marcus-thornton,William & Mary
MIL,norman-powell,UCLA
PHI,arturas-gudaitis,
OKC,dakari-johnson,Kentucky
WAS,aaron-white,Iowa
ATL,marcus-eriksson,
ORL,tyler-harvey,Eastern Washington
DAL,satnam-singh,
